Nom_Taxonomique;Noms_valides
CRABES + COQUILLAGES;Crabes coquillages
CRABES DIVERS;Crabes divers
CRABES DIVERS (ENTIERS);Crabes entiers
CRABES SP;Crabes sp
CRABES SP.;Crabes sp
CREVETTES;Crevettes crevettes
CREVETTES DIVERS;Crevettes divers
CREVETTES PROFONDE;Crevettes profonde
CREVETTES SP;Crevettes
CRONIUS RUBER;Cronius ruber
CRUSTAC?ÎS;Crustaces
CRUSTAC?ÎS INCONNUS;Crustaces
CRUSTACES;Crustaces
CYBIU GLANS;Cymbium glans
CYCLICHTHYS ANTENNATUS;Chilomycterus antennatus
CYMBIUM;Cymbium
CYMBIUM CYMBIUM;Cymbium cymbium
CYMBIUM CYMBIUM +              )  2;Cymbium cymbium 
CYMBIUM CYMBIUM +  C. MARMORATUM +;Cymbium marmoratum 
CYMBIUM GLANS;Cymbium glans
CYMBIUM MARMORATA;Cymbium marmoratum
CYMBIUM MARMORATUM;Cymbium marmoratum
CYMBIUM PEPO;Cymbium pepo
CYMBIUM SENEGALENSIS;Cymbium pepo
CYMBIUM SP;Cymbium sp
CYMBIUM SPP.;Cymbium sp
CYMBIUM TRITOMA SENEGALENSIS;Cymbium pepo
CYMBIUM TRITONIS;Cymbium cucumis
CYMBIUM TRITONIS SENEGALENSIS;Cymbium pepo
CYMBIUM TURRICULATUM;Cymbium olla
CYMBIUMS;Cymbium
CYNOGLOSSIDAE DIVERS;Cynoglossidae divers
CYNOGLOSSSUS SP;Cynoglosssus sp
CYNOGLOSSUS BROWNI;Cynoglossus browni
CYNOGLOSSUS CADENATI;Cynoglossus cadenati
CYNOGLOSSUS CANARIENSIS;Cynoglossus canariensis
CYNOGLOSSUS MONODI;Cynoglossus monodi
CYNOGLOSSUS SENEGALENSIS;Cynoglossus senegalensis
CYNOGLOSSUS SENENGALENSIS;Cynoglossus senegalensis
CYNOGLOSSUS SP;Cynoglossus sp
CYNOPNCTICUS FEROX;Cynoponcticus ferox
CYNOPONCTICUS FEROX;Cynoponcticus ferox
CYNOPONTICUS FEROX;Cynoponcticus ferox
CYTTOPSIS  ROSEUS;Cyttopsis roseus
CYTTOPSIS ROSEA;Cyttopsis rosea
CYTTOPSIS ROSEUS;Cyttopsis roseus
CYTTOPSUS ROSEUS;Cyttopsis roseus
CYTTOSUS ROSEUS;Cyttopsis roseus
DACTYLOPTERUS VOLITANS;Dactylopterus volitans
DAENIA CALCEA;Daenia calcea
DAENIA CRIMOUXI;Daenia crimouxi
DALATIAS LICHA;Dalatias licha
DASYATIS CENTROURA;Dasyatis centroura
DASYATIS MARGARITA;Dasyatis margarita
DASYATIS MARMORATA;Dasyatis marmorata
DASYATIS PASTINACA;Dasyatis pastinaca
DASYATIS SP;Dasyatis sp
DEANIA CALCEA;Deania calcea
DEANIA CRIMOUXI;Deania crimouxi
DEANIA PROFUNDORUM;Deania profundorum
DECAPTERUS MACARELLUS;Decapterus macarellus
DECAPTERUS PUNCTATUS;Decapterus punctatus
DECAPTERUS R. + PETITS CARANGID?ÎS;Decapterus et Carangidae
DECAPTERUS RHONCHUS;Decapterus rhonchus
DECAPTERUS RHONCHUS ( JUVENILES);Decapterus juveniles
DECAPTERUS RHONCHUS (JUV.);Decapterus juv.
DECAPTERUS RHONCHUS (JUVENILES );Decapterus juveniles 
DECAPTERUS RHONCHUS(JUVENILES);Decapterus juveniles
DECAPTERUS SP;Decapterus sp
DECAPTERUS SP.;Decapterus sp
DECHETS;Dechets dechets
DECHETS (COQUILLAGES + DIVERS);Dechets divers
DECHETS (COQUILLAGES + OURSINS);Dechets oursins
DECHETS (COQUILLAGES);Dechets coquillages
DECHETS (COQUILLES );Dechets coquilles 
DECHETS (OURSINS + COQUILLAGES);Dechets coquillages
DECHETS (OURSINS);Dechets oursins
DECHETS (OURSINS+COQUILLAGES);Dechets coquillages
DECHETS (OURSINS+EDUSES);Dechets eduses
DECHETS + COQUILLAGES;Dechets coquillages
DECHETS DOLIOL + SALPE);Dechets salpe
DECHETS(ROCHER);Dechets rocher
DENIA CREMOUXI;Denia cremouxi
DENTEX  PROFONDS;Dentex profonds
DENTEX  SP;Dentex sp
DENTEX ACCROMEGALUS;Dentex accromegalus
DENTEX ACROPHTHALUS;Dentex macrophthalmus
DENTEX ANGOLENSIS;Dentex angolensis
DENTEX CANARIENSIS;Dentex canariensis
DENTEX CONGOENSIS;Dentex congoensis
DENTEX FILOSUS;Dentex filosus
DENTEX GIBBOSUS;Dentex gibbosus
DENTEX MACHROPHTHALMUS;Dentex macrophthalmus
DENTEX MACROPHHTALMUS;Dentex macrophthalmus
DENTEX MACROPHTHALMUS;Dentex macrophthalmus
DENTEX MACROPTHALMUS;Dentex  macrophthalmus
DENTEX MAROCCANUS;Dentex maroccanus
DENTEX SP;Dentex sp
DENTEX SP.;Dentex sp
DENTEX SPP.;Dentex sp
DENTEX SPP.+ PAGRUS EHRENBERGI;Dentex  ehrenbergi
DETERMINEE;Determinee determinee
DIASTODON SP.;Diastodon sp
DIASTODON SPECIOSUS;Diastodon speciosus
DIBRANCHUS ATLANTICUS;Dibranchus atlanticus
DICENTRARCHUS PUNCTATUS;Dicentrarchus punctatus
DICERATIAS BISPINOSUS;Diceratias bispinosus
DICERATIAS SPINOSUS;Diceratias spinosus
DICERATIDAE;Diceratidae 
DICILOGOGLOSSA CUNEATA;Dicologlossa cuneata
DICLOGOGLOSSA HEXOPHTAHLMA;Microchirus  hexophtahlmus
DICOLOGAGLOSSA CUNEATA;Dicologlossa cuneata
DICOLOGLOSSA CUNEATA;Dicologlossa cuneata
DICOLOGLOSSA HEXOPHTHALMA;Microchirus  hexophthalmus
DICOLOGOGLOSSA  CUNEATA;Dicologlossa cuneata
DICOLOGOGLOSSA  HEXOPHTHALMA;Microchirus  hexophthalmus
DICOLOGOGLOSSA CUNEATA;Dicologlossa cuneata
DICOLOGOGLOSSA HEXAPHTHALMA;Microchirus  hexophthalmus
DICOLOGOGLOSSA HEXOPHTALMA;Microchirus  hexophthalmus
DICOLOGOGLOSSA HEXOPHTHALA;Microchirus  hexophthalmus
DICOLOGOGLOSSA HEXOPHTHALMA;Microchirus  hexophthalmus
DICOLOGOGLOSSA SP;Microchirus sp
DICOLOGOGLOSSA TRIOPHTHALA;Pegusa  triophthalma
DIODON HOLOCANTHUS;Diodon holocanthus
DIODON HYSTRIX;Diodon hystrix
DIODON MACULATUS;Diodon maculatus
DIODON SP;Diodon sp
DIODON SP.;Diodon sp
DIODON SPECIOSUS;Diodon speciosus
DIODON SPP.;Diodon sp
DIPLODUS BELLOTTI;Diplodus bellottii
DIPLODUS BELLOTTII;Diplodus bellottii
DIPLODUS CERVINUS;Diplodus cervinus
DIPLODUS CERVINUS CERVINUS;Diplodus cervinus
DIPLODUS FASCIATUS;Diplodus fasciatus
DIPLODUS PUNTAZZO;Diplodus sargus puntazzo
DIPLODUS SARGUS;Diplodus sargus
DIPLODUS SARGUS CADENATI;Diplodus sargus cadenati
DIPLODUS SARGUS SARGUS;Diplodus sargus
DIPLODUS SENEGALENSIS;Diplodus bellottii
DIPLODUS SENENGALENSIS;Diplodus bellottii
DIPLODUS SP;Diplodus sp
DIPLODUS SP.;Diplodus sp
DIPLODUS VULGARIS;Diplodus vulgaris
DIPLOPHOS MADERENSIS;Manducus maderensis
DIPLOPHOS SP;Manducus sp
DIPLOPHOS TAENIA;Diplophos taenia
DIRETMUS ARGENTEUS;Diretmus argenteus
DISCOBATIDAE;Discobatidae
DIVERS;Divers divers
DIVERS POISSONS;Divers poissons
DOCOLOGOGLOSSA HEXOPHTHALMA;Microchirus  hexophthalmus
DRACULO SHANGO;Draculo shango
DREPANA AFRICANA;Drepane africana
DREPANE AFRICANA;Drepane africana
ECHELUS MYRUS;Echelus myrus
ECHELUS PACHYRHYNCHUS;Echelus pachyrhynchus
ECHENEIDAE;Echeneidae
ECHENEIS NAUCRATES;Echeneis naucrates
ECHINODERE;Echinoderme
ECHINODERME;Echinoderme
ECHINODERMES;Echinodermes
ECHINUS EXALENTUS;Echinus esculentus
EDUSES;Eduses
ELEDON;Eledone
ELEDONE;Eledone 
ELEDONE MOSCHATA;Eledone moschata
ELEDONE PROFOND IND?ÎTERMIN?Î;Eledone
ELEDONE SP;Eledone sp
ELEDONE SP.;Eledone sp
ELEOTRIS SENEGALENSIS;Eleotris senegalensis
ELODONE SP.;Elodone sp
ELOPS LACERTA;Elops lacerta
ELOPS SENEGALENSIS;Elops senegalensis
ENCHELYCORE NIGRICANS;Enchelycore nigricans
ENGRAULIS ENCRASICOLIS;Engraulis encrasicolus
ENGRAULIS ENCRASICOLUS;Engraulis encrasicolus
EPHIPPION GUITTIFER;Ephippion guttifer
EPHIPPION GUTTIFER;Ephippion guttifer
EPHIPPION GUTTUFER;Ephippion guttifer
EPHIPPUS GOREENSIS;Ephippus goreensis
EPIGONUS CONSTANCIAE;Epigonus constanciae
EPIGONUS DENTICULATUS;Epigonus denticulatus
EPIGONUS SP;Epigonus sp
EPIGONUS SPP.;Epigonus sp
EPIGONUS TELESCOPUS;Epigonus telescopus
